type	gene_name
B_ASC	PAX5
B_ASC	CD19
B_ASC	CD79A
B_ASC	TCF4
B_ASC	IRF4
B_ASC	BOLA-DRA
monocyte	CD14
monocyte	FCGR3A
monocyte	CD163
monocyte	SIRPA
monocyte	SELL
monocyte	ITGAL
monocyte	ITGAM
monocyte	ITGB2
monocyte	PECAM1
monocyte	ITGA4
monocyte	CX3CR1
monocyte	CCR5
monocyte	SLC2A1
monocyte	SLC2A3
myeloid	TYROBP
myeloid	IRF8
myeloid	FTL
myeloid	CLEC12A
myeloid	XBP1
myeloid	TCF4
myeloid	FCER1A
myeloid	TLR4
myeloid	NLRP3
myeloid	CSF1R
myeloid	CD14
myeloid	SIRPA
myeloid	CD86
neutrophil	ITGAM
neutrophil	ELANE
neutrophil	NCF4
neutrophil	CD68
T_Cell	CD3E
T_Cell	CD8B
T_Cell	CD4
T_Cell	ENSBTAG00000055197
T_Cell	CD2
T_Cell	CD28
T_Cell	CCR7
T_Cell	CD5
